Timestamp,1. Age,2.  Gender:,3. Nationality:,4. How long have you lived in Nigeria? (For Cameroonian refugees only),Ko5. How long have you been in this community since Cameroonians came (Nigerians only)? ,"
6. What was the primary reason for leaving Cameroon?",7.  Did you come to Nigeria alone or with family?,8. Do you feel safe in your current location?,9.  Have you or someone you know experienced security threats or conflicts in Nigeria?,10. Have there been any reported incidents of crime or violence involving refugees and local communities?,11. How would you describe the relationship between Cameroonian refugees and Nigerians?,12. What are the major security concerns faced by Cameroonian refugees in Nigeria?,13.  What are the major security concerns faced by Nigerians as a result of the presence of refugees? (Nigerians Only),"14. Are there opportunities for Cameroonian refugees to integrate into Nigerian society (e.g., work, education, social support)?",15.What support do you think the Nigerian government should provide to both refugees and host communities to improve security?,16. Do you have any recommendations on how to improve relations between Cameroonian refugees and Nigerians?
2/17/2026 9:40:26,A) 18-25,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,A) More security presence,Government should employ both Nigerians and cameroonia refugees and improve livelihood skills both Nigerians and cameroonia refugees 
2/17/2026 9:46:40,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity in the current location ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,A) More security presence, they should treat refugees equal as Nigerians 
2/17/2026 10:11:14,A) 18-25,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,B) NO,A) Yes,B) Neutral,B) Attacks by locals,,A) Yes,B) Livelihood programs,"Empowerment of youth, mother, and father, taking care of sick one's, Job opportunities "
2/17/2026 10:22:57,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,Since 2017 ,A) Conflict/Insecurity,B) With family,A) Yes,B) NO,B) No,A) Friendly,A) Harassment by security forces,"Police, immigration and army molestation ",B) NO (If No select Other and explain),A) More security presence,The security forces in Nigeria should be advised to allow camerooians refugees move freely 
2/17/2026 11:44:26,A) 18-25,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,B) NO,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,C) Community sensitization,No
2/17/2026 17:10:47,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,9,A) Conflict/Insecurity,A) Alone,B) No (If no explain below),A) Yes,A) Yes,A) Friendly,B) Attacks by locals,,A) Yes,B) Livelihood programs,Sensitization and awareness 
2/17/2026 20:02:10,A) 18-25,B) Female,A) Cameroonian,D) More than 6 years,,B) Economic hardship,B) With family,insecurity and no good living conditions ,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,A) More security presence,it should equal treat refugees as Nigerian and help to improve livelihood skills both Nigerians and cameroonia refugees 
2/17/2026 20:44:13,B) 26-35,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity and living conditions ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,improve on security measures and improve livelihood skills both Nigerians and cameroonia refugees 
2/17/2026 20:52:54,D) 46-60,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity and health conditions ,B) NO,B) No,A) Friendly,A) Harassment by security forces,,A) Yes,B) Livelihood programs,improve livelihood skills to both Nigerians and cameroonia refugees 
2/18/2026 7:59:44,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,,E) Other (please specify),B) With family,A) Yes,B) NO,B) No,A) Friendly,B) Attacks by locals,,A) Yes,B) Livelihood programs,None
2/18/2026 8:35:28,A) 18-25,B) Female,A) Cameroonian,B) 1-3 years,,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,B) Attacks by locals,,A) Yes,A) More security presence,Economic support 
2/18/2026 8:36:44,A) 18-25,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,C) Tense,B) Attacks by locals,,A) Yes,A) More security presence,Economic support 
2/18/2026 8:37:47,B) 26-35,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,A) Alone,B) No (If no explain below),A) Yes,A) Yes,C) Tense,B) Attacks by locals,,A) Yes,A) More security presence,Economic support 
2/18/2026 8:38:52,C) 36-45,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,C) Tense,A) Harassment by security forces,,A) Yes,A) More security presence,Economic support 
2/18/2026 8:39:40,D) 46-60,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,C) Tense,A) Harassment by security forces,,A) Yes,A) More security presence,Economic support 
2/18/2026 8:53:45,A) 18-25,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,Community crisis from some of the host community youths at times ,A) Yes,A) Yes,A) Friendly,C) Economic exploitation,,A) Yes,B) Livelihood programs,Sensitization Should be made
2/19/2026 19:31:09,C) 36-45,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,A) More security presence,Economic support 
2/19/2026 19:33:37,C) 36-45,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,A) Alone,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,B) Attacks by locals,,B) NO (If No select Other and explain),A) More security presence,Economic support 
2/19/2026 19:35:20,D) 46-60,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,A) Alone,B) No (If no explain below),A) Yes,A) Yes,C) Tense,B) Attacks by locals,,B) NO (If No select Other and explain),A) More security presence,Economic support 
2/19/2026 19:37:24,A) 18-25,A) Male,A) Cameroonian,B) 1-3 years,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,A) More security presence,Economic support 
2/20/2026 14:42:06,B) 26-35,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,B) Attacks by locals,,A) Yes,A) More security presence,Creation of small vigilante groups in both communities and refugee settlements. 
2/20/2026 21:14:00,E) 60+,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,Insecurity and no good living conditions ,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,A) More security presence,Improve on security measures both Nigerians and cameroonia refugees 
2/20/2026 21:15:30,D) 46-60,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,B) Livelihood programs,improve on security measures to both Nigerians and cameroonia refugees 
2/20/2026 21:17:29,C) 36-45,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,A) Alone,insecurity and no good living conditions ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,improve on security measures and improve livelihood skills both Nigerians and cameroonia refugees 
2/20/2026 21:19:26,B) 26-35,B) Female,A) Cameroonian,B) 1-3 years,,A) Conflict/Insecurity,A) Alone,no good living conditions ,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,B) Livelihood programs,the government should employ both Nigerians and cameroonia refugees and improve livelihood and security measures to both Nigerians and cameroonia y
2/20/2026 21:36:37,E) 60+,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,no good health conditions and insecurity ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,A) More security presence,"the government should improve livelihood skills, good health conditions and insecurity to both Nigerians and cameroonia refugees "
2/20/2026 21:39:28,C) 36-45,A) Male,A) Cameroonian,B) 1-3 years,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,A) More security presence,Government should make sure they is a enough security to both Nigerians and cameroonia refugees 
2/20/2026 21:41:27,D) 46-60,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,A) More security presence,the government should improve on security measures to both Nigerians and cameroonia refugees 
2/20/2026 21:45:06,B) 26-35,B) Female,A) Cameroonian,B) 1-3 years,,A) Conflict/Insecurity,A) Alone,no good living and abound,A) Yes,A) Yes,B) Neutral,B) Attacks by locals,,A) Yes,B) Livelihood programs,Government should improve on security measures both Nigerians and cameroonia 
2/21/2026 0:13:07,A) 18-25,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,B) Livelihood programs,"Friendly
"
2/21/2026 1:00:47,A) 18-25,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,C) Community sensitization,Cool 
2/21/2026 1:02:50,B) 26-35,B) Female,B) Nigerian,,,,,A) Yes,B) NO,B) No,A) Friendly,C) Economic exploitation,Violent ,A) Yes,A) More security presence,Friendly 
2/21/2026 1:05:01,A) 18-25,B) Female,A) Cameroonian,B) 1-3 years,,A) Conflict/Insecurity,A) Alone,A) Yes,B) NO,B) No,A) Friendly,C) Economic exploitation,,A) Yes,A) More security presence,Happily 
2/21/2026 6:54:58,A) 18-25,A) Male,A) Cameroonian,A) Less than 1 year,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,C) Tense,A) Harassment by security forces,,A) Yes,A) More security presence,Economic support 
2/21/2026 6:58:54,A) 18-25,A) Male,A) Cameroonian,B) 1-3 years,,A) Conflict/Insecurity,A) Alone,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,B) Attacks by locals,,A) Yes,A) More security presence,Economic support 
2/21/2026 7:17:52,B) 26-35,A) Male,A) Cameroonian,A) Less than 1 year,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,B) Neutral,B) Attacks by locals,,B) NO (If No select Other and explain),A) More security presence,Economic support 
2/21/2026 18:50:07,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity and no good living conditions ,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,B) NO (If No select Other and explain),A) More security presence,the government should improve on security measures to both Nigerians and cameroonia refugees 
2/21/2026 19:36:10,D) 46-60,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity and no good health and living conditions ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,A) More security presence,improve on security measures and improve livelihood skills both Nigerians and cameroonia refugees 
2/21/2026 19:38:02,D) 46-60,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,A) More security presence,the government should improve on security and good health conditions 
2/21/2026 19:41:26,B) 26-35,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity and no good living conditions ,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,B) Livelihood programs,the government should improve on security measures to insure the safety of the  people 
2/21/2026 19:43:39,E) 60+,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity and no good health and living conditions ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,A) More security presence,the government should create job opportunities for both Nigerians and cameroonia refugees 
2/23/2026 21:09:12,D) 46-60,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity and no good living conditions ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,the government should improve on security measures and improve livelihood skills to both Nigerians and cameroonia refugees 
2/23/2026 21:11:21,D) 46-60,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity ,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,B) Livelihood programs,they should be improve on security measures to both Nigerians and cameroonia refugees 
2/24/2026 15:53:28,D) 46-60,A) Male,B) Nigerian,,54,,,,,A) Yes,A) Friendly,,None,A) Yes,B) Livelihood programs,Livelihood is very important 
2/24/2026 15:58:27,E) 60+,A) Male,B) Nigerian,,60 years,,,,,A) Yes,A) Friendly,,Shortage of farm lands,A) Yes,B) Livelihood programs,More livelihood 
2/24/2026 16:03:11,D) 46-60,A) Male,B) Nigerian,,8 years ,,,,,A) Yes,A) Friendly,,Food prices ,A) Yes,B) Livelihood programs,We need more support 
2/24/2026 16:05:10,E) 60+,B) Female,B) Nigerian,,8 years,,,,,A) Yes,A) Friendly,,None,A) Yes,C) Community sensitization,No 
2/25/2026 13:16:47,C) 36-45,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,A) More security presence,they should be improve on security measures to both Nigerians and cameroonia refugees 
2/25/2026 13:18:28,D) 46-60,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,Insecurity and no good living conditions ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,the government should improve on security measures and livelihood skills both Nigerians and cameroonia refugees 
2/25/2026 13:20:27,D) 46-60,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity and no good living conditions ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,A) More security presence,they should be an on security measures to both Nigerians and cameroonia refugees 
2/25/2026 13:22:32,C) 36-45,A) Male,A) Cameroonian,B) 1-3 years,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,A) Friendly,C) Economic exploitation,,A) Yes,A) More security presence,Athe government should improve on security measures to both Nigerians and y
2/25/2026 21:53:30,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,B) Livelihood programs,Improve livelihood skills and security measures to both Nigerians and cameroonia refugees 
2/25/2026 21:55:30,E) 60+,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity and no good living conditions ,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,B) Livelihood programs,the government should improve on y accept to both Nigerians and cameroonia refugees 
2/25/2026 21:59:52,E) 60+,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family, bad living conditions insecurity ,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,, No good living conditions and insecurity ,B) Livelihood programs,the government should improve on security measures to both Nigerians and cameroonia refugees 
2/25/2026 22:02:32,D) 46-60,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,no good living conditions and 5,B) Livelihood programs,the government should improve on security 
2/25/2026 22:06:20,E) 60+,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,no good living conditions and insecurity ,A) Yes,A) Yes,A) Friendly,C) Economic exploitation,,A) Yes,A) More security presence,improve in security and cameroonia refugees 
2/26/2026 11:18:43,D) 46-60,A) Male,A) Cameroonian,C) 4-6 years,,C) Political persecution,B) With family,A) Yes,A) Yes,A) Yes,A) Friendly,C) Economic exploitation,,A) Yes,B) Livelihood programs,No
2/26/2026 11:20:50,D) 46-60,A) Male,B) Nigerian,,9 years ,,,,,A) Yes,A) Friendly,,Theft,A) Yes,B) Livelihood programs,Government support needed.
2/26/2026 11:26:54,D) 46-60,B) Female,B) Nigerian,,,,,,,A) Yes,B) Neutral,,Nothing ,A) Yes,B) Livelihood programs,None
2/26/2026 11:30:10,D) 46-60,A) Male,B) Nigerian,,9 years ,,,,,A) Yes,A) Friendly,C) Economic exploitation,Hunger,A) Yes,B) Livelihood programs,The government needs to come.in especially as humanitarian organisations have reduced  funding to refugees 
2/26/2026 11:32:13,E) 60+,A) Male,B) Nigerian,,8 years ,,,,,A) Yes,A) Friendly,C) Economic exploitation,Hunger,A) Yes,B) Livelihood programs,No
2/26/2026 11:35:35,E) 60+,A) Male,B) Nigerian,,8 years ,,,,A) Yes,A) Yes,A) Friendly,,No one,A) Yes,A) More security presence,Government need to come assist our coomunjy
2/26/2026 12:20:22,C) 36-45,B) Female,B) Nigerian,,7 years ,,,,,A) Yes,A) Friendly,,I don't know ,A) Yes,B) Livelihood programs,No
2/26/2026 12:23:27,D) 46-60,B) Female,B) Nigerian,,6 years ,,,,,A) Yes,A) Friendly,B) Attacks by locals,Food shortage ,A) Yes,B) Livelihood programs,No
2/26/2026 12:26:01,C) 36-45,B) Female,B) Nigerian,,8 years ,,,,A) Yes,A) Yes,B) Neutral,,I don't know any,A) Yes,B) Livelihood programs,More conflict resolution mechanism 
2/26/2026 12:28:54,B) 26-35,B) Female,B) Nigerian,,8 years ,,,,,A) Yes,B) Neutral,,Most farming land was given to refugees ,A) Yes,B) Livelihood programs,Government should help Nigerian communities hosting refugees 
2/26/2026 22:28:58,B) 26-35,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,Insecurity and no good living conditions ,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,B) Livelihood programs,The government should improve on security measures and livelihood skills both Nigerians and cameroonia refugees 
2/26/2026 22:31:12,C) 36-45,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity and no good health and living conditions ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,the should improve on security measures and livelihood skills both Nigerians and cameroonia refugees 
2/26/2026 22:34:07,E) 60+,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,no cbi and insecurity and no good living conditions ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,A) More security presence,Improve on y accept 
2/26/2026 22:37:38,D) 46-60,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,no good health and living conditions v,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,the government should be improve on security measures to 
2/26/2026 22:40:02,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,A) More security presence,They should improve on security measures to both Nigerians and 
2/27/2026 15:47:31,D) 46-60,A) Male,B) Nigerian,,8years,,,,,A) Yes,A) Friendly,,Hunger,A) Yes,C) Community sensitization,The government need to come in now that UN has withdrawn  Assistance 
2/27/2026 15:50:11,C) 36-45,B) Female,B) Nigerian,,8 years,,,,,A) Yes,A) Friendly,C) Economic exploitation,I don't know any,A) Yes,B) Livelihood programs,Government support in the form of livelihood to refugees and host communities is highly needed
2/27/2026 15:52:01,B) 26-35,B) Female,B) Nigerian,,7 years ,,,,,A) Yes,A) Friendly,C) Economic exploitation,Food security ,A) Yes,B) Livelihood programs,No
2/27/2026 15:54:45,D) 46-60,B) Female,B) Nigerian,,9 years ,,,,,A) Yes,A) Friendly,Harassment by immigration officials ,None,A) Yes,B) Livelihood programs,No
2/27/2026 15:57:46,D) 46-60,A) Male,B) Nigerian,,8 years,,,,,A) Yes,A) Friendly,C) Economic exploitation, I think it is food security ,A) Yes,B) Livelihood programs,The government needs to assist both the refugees and host communities because they are affected by the current economic challenges 
2/27/2026 16:00:18,C) 36-45,B) Female,B) Nigerian,,8 years,,,,,A) Yes,A) Friendly,,Lack of jobs,A) Yes,C) Community sensitization,No
2/27/2026 16:02:06,D) 46-60,B) Female,B) Nigerian,,More than 9 years,,,,,A) Yes,A) Friendly,,I don't know ,A) Yes,C) Community sensitization,No
2/27/2026 16:04:06,D) 46-60,A) Male,B) Nigerian,,9 years ,,,,,A) Yes,A) Friendly,,I think job opportunities ,A) Yes,B) Livelihood programs,I already answered above
3/2/2026 8:52:51,D) 46-60,B) Female,B) Nigerian,,8years ,,,,,A) Yes,A) Friendly,C) Economic exploitation,None,A) Yes,B) Livelihood programs,Joint livelihood projects for refugees and host communities will improve relationships and security.
3/2/2026 8:54:31,E) 60+,A) Male,B) Nigerian,,8years ,,,A) Yes,,A) Yes,A) Friendly,,Hunger,A) Yes,C) Community sensitization,No
3/2/2026 8:57:37,E) 60+,A) Male,B) Nigerian,,I was born here.,,,A) Yes,,A) Yes,A) Friendly,C) Economic exploitation,Unemployment ,A) Yes,A) More security presence,The police post build by UN should be occupied by police to improve security for all.
3/2/2026 8:59:02,D) 46-60,B) Female,B) Nigerian,,8 years,,,A) Yes,,A) Yes,A) Friendly,,None that I know,A) Yes,C) Community sensitization,No
3/2/2026 9:01:09,B) 26-35,A) Male,B) Nigerian,,6 years ,,A) Alone,A) Yes,,A) Yes,A) Friendly,A) Harassment by security forces,No jobs,A) Yes,C) Community sensitization,No
3/2/2026 9:02:38,E) 60+,A) Male,B) Nigerian,,7 years,,,,,A) Yes,A) Friendly,,None,A) Yes,B) Livelihood programs,No
3/2/2026 9:04:35,E) 60+,B) Female,B) Nigerian,,8 years ,,,A) Yes,,A) Yes,A) Friendly,,Shortage of farm land ,A) Yes,B) Livelihood programs,No
3/2/2026 9:07:10,C) 36-45,B) Female,B) Nigerian,,7 years ,,,A) Yes,,A) Yes,B) Neutral,,Hunger,A) Yes,B) Livelihood programs,The should empower both host communities and refugees equally 
3/2/2026 9:27:47,E) 60+,A) Male,B) Nigerian,,8 years ,,,,,A) Yes,B) Neutral,,I don't know ,A) Yes,A) More security presence,Nothing 
3/2/2026 9:29:59,D) 46-60,A) Male,B) Nigerian,,9 years,,,A) Yes,,A) Yes,A) Friendly,A) Harassment by security forces,Lack of farm land since much was given to host refugees ,A) Yes,B) Livelihood programs,No
3/2/2026 9:31:19,D) 46-60,B) Female,B) Nigerian,,7 years ,,,A) Yes,,A) Yes,A) Friendly,,Nothing ,A) Yes,B) Livelihood programs,No
3/2/2026 9:32:41,C) 36-45,A) Male,B) Nigerian,,8 years ,,,A) Yes,,A) Yes,A) Friendly,C) Economic exploitation,Hunger ,A) Yes,B) Livelihood programs,No
3/2/2026 9:35:28,B) 26-35,B) Female,B) Nigerian,,8 years ,,,A) Yes,,A) Yes,A) Friendly,,Hunger ,They can work but not all jobs,B) Livelihood programs,I have said all
3/2/2026 9:37:07,C) 36-45,A) Male,B) Nigerian,,8 years ,,,,,A) Yes,A) Friendly,,I don't know ,A) Yes,B) Livelihood programs,No
3/2/2026 10:02:28,E) 60+,A) Male,B) Nigerian,,8 years ,,,A) Yes,,A) Yes,A) Friendly,,Crime,A) Yes,B) Livelihood programs,No
3/2/2026 10:04:39,E) 60+,A) Male,B) Nigerian,,8 years ,,,A) Yes,,A) Yes,A) Friendly,,Hunger,A) Yes,A) More security presence,No
3/2/2026 10:06:07,C) 36-45,B) Female,B) Nigerian,,8 years ,,,A) Yes,,A) Yes,A) Friendly,,Nothing ,A) Yes,A) More security presence,No
3/2/2026 10:07:47,D) 46-60,B) Female,B) Nigerian,,8 years ,,,A) Yes,,A) Yes,A) Friendly,B) Attacks by locals,I don't know any,A) Yes,C) Community sensitization,No
3/2/2026 13:05:59,C) 36-45,A) Male,B) Nigerian,,8 years ,,,,,B) No,A) Friendly,A) Harassment by security forces,Lack of work,A) Yes,B) Livelihood programs,No
3/2/2026 13:07:28,E) 60+,B) Female,B) Nigerian,,8 years,,,,,B) No,A) Friendly,,Nothing ,A) Yes,B) Livelihood programs,No
3/4/2026 12:02:17,C) 36-45,A) Male,B) Nigerian,,8 years ,,,,,A) Yes,B) Neutral,,Hunger,A) Yes,B) Livelihood programs,No
3/4/2026 12:04:20,D) 46-60,A) Male,B) Nigerian,,9 years ,,,,,A) Yes,A) Friendly,,Nothing ,A) Yes,B) Livelihood programs,Government need to support communities hosting the refugees 
3/4/2026 12:06:10,C) 36-45,B) Female,B) Nigerian,,Before they came,,,,,A) Yes,B) Neutral,,Crime,A) Yes,C) Community sensitization,No
3/4/2026 12:07:52,B) 26-35,A) Male,B) Nigerian,,9 years ,,,,,A) Yes,A) Friendly,,Hunger,A) Yes,B) Livelihood programs,Nothing 
3/4/2026 12:10:19,B) 26-35,A) Male,B) Nigerian,,8 years ,,,,,A) Yes,B) Neutral,,Hunger,A) Yes,B) Livelihood programs,Government needs to support host communities because their farm land was given to refugees for settlement.
3/4/2026 12:12:25,B) 26-35,A) Male,B) Nigerian,,9 years ,,,,,A) Yes,A) Friendly,,Nothing ,A) Yes,A) More security presence,No
